[1125/171704.430:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/171804.474:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/172304.541:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/174004.432:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/174904.643:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/180604.448:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/180704.542:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/185204.716:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/185604.555:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/191104.444:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/191404.455:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/191804.462:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/192604.621:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/193704.508:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/201704.499:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1125/202204.601:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
